iter	Passed	Remaining
862	3112	494
863	3114	490
864	3116	486
865	3119	482
866	3120	478
867	3122	474
868	3123	470
869	3125	467
870	3127	463
871	3129	459
872	3130	455
873	3132	451
874	3135	447
875	3137	444
876	3138	440
877	3140	436
878	3141	432
879	3144	428
880	3146	425
881	3147	421
882	3149	417
883	3150	413
884	3152	409
885	3154	405
886	3156	402
887	3157	398
888	3159	394
889	3162	390
890	3163	387
891	3165	383
892	3166	379
893	3168	375
894	3170	371
895	3171	368
896	3173	364
897	3174	360
898	3176	356
899	3177	353
900	3179	349
901	3180	345
902	3182	341
903	3183	338
904	3184	334
905	3186	330
906	3188	326
907	3189	323
908	3191	319
909	3193	315
910	3194	312
911	3195	308
912	3198	304
913	3199	301
914	3200	297
915	3201	293
916	3203	289
917	3204	286
918	3206	282
919	3208	278
920	3209	275
921	3210	271
922	3212	267
923	3213	264
924	3215	260
925	3216	257
926	3217	253
927	3219	249
928	3221	246
929	3222	242
930	3224	239
931	3226	235
932	3227	231
933	3228	228
934	3229	224
935	3230	220
936	3232	217
937	3234	213
938	3236	210
939	3237	206
940	3239	203
941	3240	199
942	3242	196
943	3243	192
944	3245	188
945	3246	185
946	3248	181
947	3249	178
948	3251	174
949	3252	171
950	3253	167
951	3255	164
952	3256	160
953	3257	157
954	3258	153
955	3260	150
956	3262	146
957	3263	143
958	3264	139
959	3265	136
960	3267	132
961	3269	129
962	3270	125
963	3271	122
964	3273	118
965	3274	115
966	3278	111
967	3279	108
968	3281	104
969	3282	101
970	3283	98
971	3285	94
972	3288	91
973	3290	87
974	3291	84
975	3292	80
976	3293	77
977	3295	74
978	3297	70
979	3298	67
980	3299	63
981	3300	60
982	3302	57
983	3304	53
984	3305	50
985	3306	46
986	3308	43
987	3309	40
988	3310	36
989	3311	33
990	3313	30
991	3315	26
992	3316	23
993	3318	20
994	3319	16
995	3320	13
996	3321	9
997	3323	6
998	3324	3
999	3326	0
